"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"157","B","CD8 T","LGALS1","LGALS1","PTPRC","PTPRC",0.611329574820841,1.31921126138653,3.58829065224662,3.40927499699254,0.0659234776165079
"158","B","CD8 T","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.626077291096735,0.934116054608886,3.18727616983789,0.0289580393584824
"159","B","CD8 T","TGFB1","TGFB1","SMAD3","SMAD3",0.415304167091577,0.161503298787789,1.6229445508379,0.273278140433721,0.15123040330715
"160","B","CD8 T","TGFB1","TGFB1","ITGB1","ITGB1",0.415304167091577,0.188772525439238,1.6229445508379,0.389145404949874,0.124133638715027
"161","B","CD8 T","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,2.01083647943994,1.6229445508379,4.41371926420569,0.116582846731556
"162","B","CD8 T","SELPLG","SELPLG","SELL","SELL",0.177682740845203,0.726658286741193,0.864692837398174,3.79505412507465,0.0393455517274846
"163","B","CD8 T","SELPLG","SELPLG","ITGB2","ITGB2",0.177682740845203,1.10399367841308,0.864692837398174,4.0705488221705,0.0557310212989044
"164","B","CD8 T","ADAM10","ADAM10","TSPAN5","TSPAN5",0.119796825410415,0.176851801542538,0.362590898918807,0.286414952451182,0.204005657677148
"165","B","CD8 T","ADAM10","ADAM10","TSPAN14","TSPAN14",0.119796825410415,0.135131919170489,0.362590898918807,0.370357243814924,0.120549527301997
"166","B","CD8 T","LYZ","LYZ","ITGAL","ITGAL",1.16548664124899,0.253758341654867,3.22974671051155,0.540790813749418,0.169328420447955
"167","B","CD8 T","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.296719237689547,0.186510841753175,0.633102138005458,0.468675147148198
"168","B","CD8 T","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.135743568975994,0.326010196917746,0.621686272566776,0.651725719953284,0.109223052374366
"169","B","CD8 T","ARPC5","ARPC5","ADRB2","ADRB2",1.16354703768786,0.157475075583313,3.66610613724781,0.402891879125864,0.124051557865828
"170","B","CD8 T","ARF6","ARF6","SMAP1","SMAP1",1.01497476026948,0.144850945201181,2.31501907775502,0.356923137025928,0.177929230437721
"171","B","CD8 T","GNAI2","GNAI2","S1PR5","S1PR5",0.426597193353934,0.351420907946093,1.31754657238961,0.997751209155318,0.11404003765159
"172","B","CD8 T","GNAI2","GNAI2","CXCR3","CXCR3",0.426597193353934,0.327414437002168,1.31754657238961,0.700672742117141,0.151298499480032
"173","B","CD8 T","PKM","PKM","CD44","CD44",0.677131888410867,1.02215523036448,2.27793473880842,2.10305992165709,0.14447649502358
"174","B","CD8 T","HMGB1","HMGB1","CXCR4","CXCR4",1.38480218778058,2.01083647943994,4.86012530898669,4.41371926420569,0.129811247392243
"175","B","CD8 T","CALM1","CALM1","PTPRA","PTPRA",1.57497508930134,0.196750397510955,6.14501061093323,0.484767431721319,0.104023924818691
"176","B","CD8 T","S100A9","S100A9","ITGB2","ITGB2",0.285070839201063,1.10399367841308,0.935195512000792,4.0705488221705,0.0826730573737488
"177","B","CD8 T","SPTAN1","SPTAN1","PTPRA","PTPRA",0.105270426338558,0.196750397510955,0.378549518963283,0.484767431721319,0.112866710269485
"178","B","CD8 T","SYK","SYK","LAT","LAT",0.209541229703977,0.669535068403649,0.370037946603829,1.56482661015514,0.242287122590043
"179","B","CD8 T","HLA-C","HLA-C","CD3G","CD3G",3.48661807632961,0.383235039408898,11.7154620395393,0.79741212112046,0.143030064135657
