"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"177","B","CD8 T","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,0.132754549798968,0.0156702583999716
"178","B","CD8 T","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,-0.096212787592521,-0.423017039158423
"179","B","CD8 T","B2M","B2M","CD3D","CD3D",-0.96808152102379,0.951524748506574,-0.00827838625860799
"180","B","CD8 T","HLA-A","HLA-A","CD3D","CD3D",-0.749821290724325,0.951524748506574,0.100851728891124
"181","B","CD8 T","HLA-C","HLA-C","CD3D","CD3D",-0.862434970519042,0.951524748506574,0.0445448889937657
"182","B","CD8 T","HLA-B","HLA-B","CD3D","CD3D",-0.728616340036732,0.951524748506574,0.111454204234921
"183","B","CD8 T","POMC","POMC","ADRB2","ADRB2",0.0918413158083209,0.052092057549222,0.0719666866787715
"184","B","CD8 T","HSPA8","HSPA8","ADRB2","ADRB2",-0.373976529364184,0.052092057549222,-0.160942235907481
"185","B","CD8 T","ACTR2","ACTR2","ADRB2","ADRB2",0.120621683879286,0.052092057549222,0.0863568707142539
"186","B","CD8 T","CALM1","CALM1","FAS","FAS",-0.532072576245199,0.177405475434589,-0.177333550405305
"187","B","CD8 T","ICAM2","ICAM2","ITGAL","ITGAL",0.0887135674169522,0.149572199800229,0.11914288360859
"188","B","CD8 T","ADA","ADA","DPP4","DPP4",0.00574267757323543,0.425581056486495,0.215661867029865
"189","B","CD8 T","B2M","B2M","CD247","CD247",-0.96808152102379,-0.0206324049850662,-0.494356963004428
"190","B","CD8 T","CD59","CD59","CD2","CD2",-0.0531040771825034,0.631064205389701,0.288980064103599
"191","B","CD8 T","B2M","B2M","KLRD1","KLRD1",-0.96808152102379,-0.220226347035037,-0.594153934029413
"192","B","CD8 T","HLA-B","HLA-B","KLRD1","KLRD1",-0.728616340036732,-0.220226347035037,-0.474421343535884
"193","B","CD8 T","ICAM2","ICAM2","ITGB2","ITGB2",0.0887135674169522,-0.224075373209829,-0.0676809028964384
"194","B","CD8 T","VIM","VIM","CD44","CD44",0.202378642478704,0.363316964693636,0.28284780358617
"195","B","CD8 T","B2M","B2M","CD3G","CD3G",-0.96808152102379,0.179574148931341,-0.394253686046224
"196","B","CD8 T","B2M","B2M","KLRC1","KLRC1",-0.96808152102379,-0.0669805388544327,-0.517531029939111
"197","B","CD8 T","CD22","CD22","PTPRC","PTPRC",0.618197025849411,0.202604225345937,0.410400625597674
"198","B","CD8 T","RPS27A","RPS27A","ADRB2","ADRB2",0.405250203765544,0.052092057549222,0.228671130657383
"199","B","CD8 T","RPS27A","RPS27A","SMAD3","SMAD3",0.405250203765544,0.186384863569742,0.295817533667643
"200","B","CD8 T","RPS27A","RPS27A","TGFBR2","TGFBR2",0.405250203765544,0.242034649719245,0.323642426742395
"201","B","CD8 T","UBA52","UBA52","ADRB2","ADRB2",0.488520213935104,0.052092057549222,0.270306135742163
"202","B","CD8 T","UBA52","UBA52","SMAD3","SMAD3",0.488520213935104,0.186384863569742,0.337452538752423
"203","B","CD8 T","UBA52","UBA52","TGFBR2","TGFBR2",0.488520213935104,0.242034649719245,0.365277431827175
"204","B","CD8 T","UBB","UBB","ADRB2","ADRB2",-0.634822590689962,0.052092057549222,-0.29136526657037
"205","B","CD8 T","UBB","UBB","SMAD3","SMAD3",-0.634822590689962,0.186384863569742,-0.22421886356011
"206","B","CD8 T","UBB","UBB","TGFBR2","TGFBR2",-0.634822590689962,0.242034649719245,-0.196393970485359
"207","B","CD8 T","UBC","UBC","ADRB2","ADRB2",-0.127190301506942,0.052092057549222,-0.0375491219788598
"208","B","CD8 T","UBC","UBC","SMAD3","SMAD3",-0.127190301506942,0.186384863569742,0.0295972810314001
"209","B","CD8 T","UBC","UBC","TGFBR2","TGFBR2",-0.127190301506942,0.242034649719245,0.0574221741061518
"210","NK","B","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,-0.162245133931649,0.134060225404685
"211","NK","B","FASLG","FASLG","FAS","FAS",0.412572643217306,0.0836555942073676,0.248114118712337
"212","NK","B","CD86","CD86","CD28","CD28",0.216944144860765,-0.00746375265448363,0.104740196103141
"213","NK","B","IFNG","IFNG","IFNGR2","IFNGR2",0.430365584741019,0.177969662556593,0.304167623648806
"214","NK","B","ALOX5AP","ALOX5AP","ALOX5","ALOX5",0.305550266656137,0.568163472075279,0.436856869365708
"215","NK","B","CCL5","CCL5","CXCR3","CXCR3",0.168221778573787,-0.206366198725265,-0.0190722100757391
"216","NK","B","ANXA1","ANXA1","FPR1","FPR1",0.525113064168404,0.222620338762458,0.373866701465431
"217","NK","B","CD48","CD48","CD2","CD2",-0.293419803188776,-0.57975818134744,-0.436588992268108
"218","NK","B","CD58","CD58","CD2","CD2",0.306783862128591,-0.57975818134744,-0.136487159609424
"219","NK","B","LGALS1","LGALS1","CD69","CD69",0.707555925172064,0.143528083727423,0.425542004449743
"220","NK","B","SEMA4D","SEMA4D","CD72","CD72",-0.0218935989341459,0.485221202294718,0.231663801680286
"221","NK","B","CD160","CD160","TNFRSF14","TNFRSF14",0.208791480246729,-0.00427714246203242,0.102257168892348
"222","NK","B","ICAM3","ICAM3","ITGB2","ITGB2",-0.0459212925088382,-0.528850645187414,-0.287385968848126
"223","NK","B","LGALS1","LGALS1","ITGB1","ITGB1",0.707555925172064,0.0656404849081164,0.38659820504009
"224","NK","B","LGALS1","LGALS1","PTPRC","PTPRC",0.707555925172064,-0.415537900453525,0.14600901235927
"225","NK","B","TIMP1","TIMP1","CD63","CD63",0.0835221914342663,-0.514310355793901,-0.215394082179818
"226","NK","B","TGFB1","TGFB1","ITGB1","ITGB1",0.51015907840825,0.0656404849081164,0.287899781658183
"227","NK","B","TGFB1","TGFB1","CXCR4","CXCR4",0.51015907840825,-0.131208762765105,0.189475157821572
"228","NK","B","SELPLG","SELPLG","ITGAM","ITGAM",0.215029628072617,0.00127482416992858,0.108152226121273
"229","NK","B","SELPLG","SELPLG","SELL","SELL",0.215029628072617,0.0406173891867041,0.127823508629661
"230","NK","B","SELPLG","SELPLG","ITGB2","ITGB2",0.215029628072617,-0.528850645187414,-0.156910508557398
"231","NK","B","HSP90B1","HSP90B1","TLR7","TLR7",0.036140539041579,0.369265107098859,0.202702823070219
"232","NK","B","GNAI2","GNAI2","FPR1","FPR1",0.179714828687139,0.222620338762458,0.201167583724799
"233","NK","B","GNAI2","GNAI2","CXCR3","CXCR3",0.179714828687139,-0.206366198725265,-0.0133256850190629
"234","NK","B","PKM","PKM","CD44","CD44",-0.185671469607418,-0.051623018421187,-0.118647244014303
"235","NK","B","FYN","FYN","SPN","SPN",0.173833664468677,-0.237111460063958,-0.0316388977976407
"236","NK","B","CALM1","CALM1","PTPRA","PTPRA",0.526744519413706,-0.079869577844486,0.22343747078461
"237","NK","B","HLA-C","HLA-C","CD3G","CD3G",0.820233658651436,-0.0729012737529996,0.373666192449218
"238","NK","B","HLA-A","HLA-A","CD3G","CD3G",0.510329205732673,-0.0729012737529996,0.218713965989837
"239","NK","B","HLA-B","HLA-B","CD3G","CD3G",0.744747583195492,-0.0729012737529996,0.335923154721246
"240","NK","B","ICAM2","ICAM2","ITGAM","ITGAM",-0.00952833936825393,0.00127482416992858,-0.00412675759916268
"241","NK","B","KLRB1","KLRB1","CLEC2D","CLEC2D",0.0643691692978155,0.0974415995970218,0.0809053844474187
"242","NK","B","CALM2","CALM2","SELL","SELL",-0.373830771468973,0.0406173891867041,-0.166606691141134
"243","NK","B","CALM1","CALM1","SELL","SELL",0.526744519413706,0.0406173891867041,0.283680954300205
"244","NK","B","CALM3","CALM3","SELL","SELL",0.157886963401025,0.0406173891867041,0.0992521762938646
"245","NK","B","GNAI2","GNAI2","S1PR4","S1PR4",0.179714828687139,0.010028523213643,0.094871675950391
"246","NK","B","HLA-B","HLA-B","CANX","CANX",0.744747583195492,-0.00664882725819368,0.369049377968649
"247","NK","B","GSTP1","GSTP1","TRAF2","TRAF2",0.569694800504785,0.321488113677064,0.445591457090925
"248","NK","B","CALR","CALR","HLA-F","HLA-F",0.436485322626465,0.0380774623995144,0.23728139251299
"249","NK","B","B2M","B2M","HLA-F","HLA-F",0.728883142873204,0.0380774623995144,0.383480302636359
"250","NK","B","LRPAP1","LRPAP1","SORL1","SORL1",0.0635921117032678,-0.19098414076676,-0.0636960145317464
"251","NK","B","CALM1","CALM1","KCNN4","KCNN4",0.526744519413706,0.366452497949396,0.446598508681551
"252","NK","B","HLA-A","HLA-A","APLP2","APLP2",0.510329205732673,0.0799269211409029,0.295128063436788
"253","NK","B","B2M","B2M","CD3D","CD3D",0.728883142873204,-0.428411266288325,0.150235938292439
"254","NK","B","HLA-A","HLA-A","CD3D","CD3D",0.510329205732673,-0.428411266288325,0.0409589697221741
"255","NK","B","HLA-C","HLA-C","CD3D","CD3D",0.820233658651436,-0.428411266288325,0.195911196181556
"256","NK","B","HLA-B","HLA-B","CD3D","CD3D",0.744747583195492,-0.428411266288325,0.158168158453583
"257","NK","B","CALM1","CALM1","FAS","FAS",0.526744519413706,0.0836555942073676,0.305200056810537
"258","NK","B","B2M","B2M","CD247","CD247",0.728883142873204,-0.764050310775759,-0.0175835839512776
"259","NK","B","CD59","CD59","CD2","CD2",-0.0942192630450944,-0.57975818134744,-0.336988722196267
"260","NK","B","LTB","LTB","CD40","CD40",-0.73598210743712,0.771196688085814,0.0176072903243469
"261","NK","B","IRAK4","IRAK4","TLR7","TLR7",0.0519980739988663,0.369265107098859,0.210631590548863
"262","NK","B","SPON2","SPON2","ITGB2","ITGB2",1.04724343131851,-0.528850645187414,0.259196393065549
"263","NK","B","ICAM2","ICAM2","ITGB2","ITGB2",-0.00952833936825393,-0.528850645187414,-0.269189492277834
"264","NK","B","VIM","VIM","CD44","CD44",-0.673217141637688,-0.051623018421187,-0.362420080029437
"265","NK","B","B2M","B2M","CD3G","CD3G",0.728883142873204,-0.0729012737529996,0.327990934560102
