"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"84","NK","CD47","CD8 T","SIRPG",0.0382667377355452,120.25,85,0.404952941044915,30,0.738164537073488,281,0.340107784579241,79,0.353960745611597,91
"85","NK","LGALS1","CD8 T","ITGB1",0.0394917344832065,112,73.5,0.283138478876722,92,0.759546480565851,257,0.471933268090592,44,0.428418524844718,55
"86","NK","ICAM3","NK","ITGB2",0.0394917344832065,122,88,0.172337822114863,242,0.872339259237613,84,0.351033328324779,70,0.353502362944202,92
"87","NK","GNAS","NK","PTGDR",0.0420160368553153,106,79.5,0.313569230464658,65,0.791815143541941,211,0.398809303501495,54,0.351235726743835,94
"88","NK","HMGB1","CD8 T","CXCR4",0.0420160368553153,111.25,86.5,0.174670902270812,237,0.906754215970996,35,0.31380420106599,94,0.378411881127981,79
"89","NK","IFITM1","B","CD81",0.0444593437142146,144.75,144,0.198227338456108,190,0.790148591237592,213,0.340489643461888,78,0.333304528165334,98
"90","CD8 T","CD2","CD8 T","CD53",0.0444593437142146,139.75,139.5,0.184978952480996,213,0.880982988170323,67,0.306715728393858,97,0.210717743821797,182
"91","B","HLA-DRA","B","CD63",0.0459911824321464,155.25,87.5,0.111880811892175,400,0.873756480395607,78,0.460574313158255,46,0.341459249469377,97
"92","B","CD52","B","SIGLEC10",0.0461528445838697,124.75,108.5,0.310774217780205,68,0.789661057142393,215,0.216822633302277,149,0.410838357755208,67
"93","NK","CD99","NK","PILRB",0.0470175113889674,165.75,168,0.186943727166875,210,0.789622248867113,216,0.244032415936298,126,0.310868851568118,111
"94","NK","CD47","NK","HLA-C",0.0471852548498219,107.25,79,0.16885778336245,247,0.910969386475547,30,0.242237057888458,128,0.568482739079617,24
"95","CD8 T","HLA-A","NK","KIR3DL2",0.0478942712185886,156.75,158,0.283415527979157,91,0.806510463773468,184,0.131161427006323,220,0.29403848654359,132
"96","B","CSF3R","NK","CD244",0.0485578593778588,177.25,76,0.907894606331281,2,0.511097878364293,555,0.294818549697127,102,0.445163234556096,50
"97","CD8 T","TSPAN5","B","TSPAN13",0.0487693088515649,170.5,96,0.475679877860927,20,0.581849847703847,470,0.301639047507456,99,0.352295460217425,93
"98","NK","IFITM1","CD8 T","CD81",0.0515244931830214,155.5,152.5,0.189277822485297,202,0.786292733063827,221,0.311401093275927,96,0.322521208752879,103
"99","B","TNFRSF17","CD8 T","LY9",0.0516516138582959,154,94.5,0.452135111549913,23,0.63839795033705,404,0.321532279293829,88,0.325366886493559,101
"100","B","CD74","B","CXCR4",0.0516516138582959,112.5,69.5,0.150139689799711,297,0.924934699349095,14,0.295433544534605,101,0.492586169952284,38
"101","CD8 T","CD52","B","SIGLEC10",0.0553572753493786,154.75,155.5,0.291419836839319,83,0.784271184006367,225,0.150796131086053,204,0.317511198004611,107
"102","B","NT5E","B","FCRL1",0.0561736289799456,169.75,78,0.789159361506741,3,0.538052166693478,520,0.292084073307445,104,0.433466249917065,52
"103","CD8 T","HMGB1","NK","HAVCR2",0.0563479850123781,172.75,185,0.281668547834506,95,0.783074607911644,226,0.161399591550727,193,0.218310933832979,177
"104","B","HLA-DRA","NK","CD82",0.0567371663980448,132.75,101,0.145813773301766,310,0.814845230938617,169,0.693297938495339,19,0.496797746662839,33
"105","B","CD53","B","CD37",0.0577346402398397,129.25,102.5,0.154039110043515,287,0.91412376431118,25,0.289133496506592,105,0.326777763760723,100
