"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"371","CD8 T","HLA-C","CD8 T","CD81",0.438168472408137,490.25,540.5,0.127534622872935,527,0.835837796593391,307,0.0172411131700771,554,0.0494277313956886,573
"372","B","CD47","NK","HLA-C",0.438168472408137,326,303.5,0.115759831105586,573,0.894424995027676,124,0.0778549492060067,450,0.387338380096074,157
"373","CD8 T","PRNP","CD8 T","TNFRSF25",0.440882673923173,390.25,300.5,0.240081340540047,220,0.649072634521327,740,0.219424619581127,270,0.202196713481914,331
"374","CD8 T","ADRB2","CD8 T","CXCR4",0.444318111374999,363.5,317,0.178071887007678,362,0.738695382718578,575,0.242535949281888,245,0.272600507077885,272
"375","NK","B2M","CD8 T","CD247",0.444318111374999,320,333,0.115063289928723,575,0.926078424637269,39,0.0618442850296316,478,0.354125368944069,188
"376","B","ITGA4","B","ADAM28",0.444444444444444,393.5,304.5,0.416234049144776,51,0.526903726706976,914,0.159996927045803,332,0.26300804002995,277
"377","CD8 T","B2M","CD8 T","HLA-F",0.447417092568445,406.25,488.5,0.11439080227328,576,0.912140503377007,72,0.0249743264035848,543,0.12395418604001,434
"378","B","ADAM28","B","ITGA4",0.448022343713445,393.5,304.5,0.416234049144776,51,0.526903726706976,914,0.159996927045803,332,0.26300804002995,277
"379","B","TNFRSF17","B","LY9",0.448022343713445,416.25,315,0.253613074027734,190,0.569382422451827,845,0.192710502767556,297,0.199916400881499,333
"380","NK","HLA-C","B","CD53",0.450532256390557,330.25,354,0.114125484989623,577,0.928412252722689,36,0.0441834505670016,509,0.342681806775843,199
"381","NK","SIGLEC7","NK","CD320",0.451616371583847,398.5,314.5,0.415489541651168,53,0.527473863884954,912,0.159078320658133,334,0.237878665316318,295
"382","NK","IFNG","NK","IFNGR1",0.451616371583847,413.5,299,0.223009370131396,249,0.603189753024778,807,0.223764835430341,264,0.199716328154568,334
"383","B","TNFRSF14","B","TRAF5",0.455226527616669,393.5,315,0.220578640938059,253,0.684393874434334,691,0.19405316257891,295,0.199673307826462,335
"384","NK","CD53","NK","CD37",0.456811356972047,445.5,549.5,0.113759205987878,579,0.901455064977923,104,0.0142590932430336,561,0.0691417777944136,538
"385","B","ITGB1BP1","NK","ITGB7",0.462495220950372,386.75,320.5,0.20017365129307,304,0.704951136605632,644,0.225599373055594,262,0.198805592639691,337
"386","B","ITGB2","B","CD82",0.469566230705892,526.75,530,0.140926573833379,494,0.790948237306413,464,0.00221816058991886,583,0.051993241957172,566
"387","B","CD82","B","ITGB2",0.472796253067592,526.75,530,0.140926573833379,494,0.790948237306413,464,0.00221816058991886,583,0.051993241957172,566
"388","B","CLEC2D","CD8 T","KLRB1",0.47722609376698,407,312.5,0.256059335232759,185,0.589861722855573,818,0.206123517887001,284,0.195238453078643,341
"389","CD8 T","HLA-DMB","B","CD74",0.47722609376698,393.5,330.5,0.0782854102212761,765,0.833367071295256,320,0.154604038964797,341,0.401307521938813,148
"390","CD8 T","ITGB1","CD8 T","CD151",0.48094911006228,427,333,0.298093510866252,122,0.518269337211478,920,0.151229450652238,342,0.204835223924907,324
"391","B","SELPLG","NK","ITGB2",0.482586359930907,404,405,0.111386075563392,587,0.758777603779181,545,0.284282064400222,219,0.287070036800528,265
"392","NK","CD86","CD8 T","CD28",0.484688240472586,421,327.5,0.367034873899134,71,0.471558155047723,958,0.149369964498974,343,0.2202446099323,312
"393","CD8 T","CD28","NK","CD86",0.488443481925026,421,327.5,0.367034873899134,71,0.471558155047723,958,0.149369964498974,343,0.2202446099323,312
"394","CD8 T","B2M","CD8 T","CD247",0.489197035729448,405,493.5,0.110889666894185,589,0.924803797937563,44,0.0318383341546703,531,0.109282986582761,456
"395","NK","ITGB1BP1","NK","ITGB7",0.492214831054074,406,333,0.194961389826423,321,0.702199897906699,653,0.186646152976339,305,0.191714631281821,345
"396","NK","B2M","NK","HLA-F",0.492527726930108,354.5,376.5,0.110771290614244,590,0.91084356222925,75,0.0192278348702725,552,0.341047843272129,201
"397","NK","ADRB2","CD8 T","PRNP",0.49600228420155,416.5,328,0.248208781819408,198,0.596555612433698,812,0.17972880239571,310,0.191012767832128,346
