"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"73","B","B","TNFRSF14","TNFRSF14","TRAF2","TRAF2",0.471659436820677,0.168244428119976,0.199056328661466,0.585950474708911
"74","B","B","ADAM28","ADAM28","ITGA4","ITGA4",0.186510841753175,0.263518666424227,0.199056328661466,0.526903726706976
"75","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.374319606450614,0.761533411345825,0.199056328661466,0.728422597071482
"76","B","B","LGALS9","LGALS9","CD44","CD44",0.374319606450614,0.655390474380009,0.199056328661466,0.713323934237617
"77","B","B","LGALS9","LGALS9","CD47","CD47",0.374319606450614,0.660883773505572,0.199056328661466,0.714176603315049
"78","B","B","FCER2","FCER2","ITGB2","ITGB2",0.408886667884992,0.760072642284877,0.199056328661466,0.736884521104098
"79","B","B","HLA-DMA","HLA-DMA","CD74","CD74",1.51292569675711,4.53114927048177,0.199056328661466,0.929345442788249
"80","B","B","HLA-DMB","HLA-DMB","CD74","CD74",1.09959541660319,4.53114927048177,0.199056328661466,0.918123988334498
"81","B","B","BAG6","BAG6","NCR3","NCR3",0.415882888083069,0.265567624522794,0.199056328661466,0.625403774110447
"82","B","B","B2M","B2M","CD3D","CD3D",5.08030092207413,0.498510384940848,0.199056328661466,0.888824251561029
"83","B","B","B2M","B2M","CD3G","CD3G",5.08030092207413,0.218130867710745,0.199056328661466,0.840977959641924
"84","B","B","B2M","B2M","HLA-E","HLA-E",5.08030092207413,2.49940506611986,0.199056328661466,0.947093872419684
"85","B","B","B2M","B2M","CD247","CD247",5.08030092207413,0.269537489139202,0.199056328661466,0.854622840990334
"86","B","B","B2M","B2M","CD1C","CD1C",5.08030092207413,0.637564776098864,0.199056328661466,0.900411302741972
"87","B","B","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.789576504544845,0.199056328661466,0.90959693574739
"88","B","B","TGFB1","TGFB1","ITGB1","ITGB1",0.415304167091577,0.155683292441036,0.199056328661466,0.56090349081367
"89","B","B","TGFB1","TGFB1","CXCR4","CXCR4",0.415304167091577,1.32766130682417,0.199056328661466,0.78859962152013
"90","B","B","LGALS1","LGALS1","ITGB1","ITGB1",0.611329574820841,0.155683292441036,0.199056328661466,0.60781625293827
"91","B","B","LGALS1","LGALS1","PTPRC","PTPRC",0.611329574820841,0.761533411345825,0.199056328661466,0.77415047157222
"92","B","B","TIMP1","TIMP1","CD63","CD63",0.137708812926166,0.48357702176794,0.199056328661466,0.564535049803432
"93","B","B","S100A9","S100A9","ITGB2","ITGB2",0.285070839201063,0.760072642284877,0.199056328661466,0.700459731129627
"94","B","B","S100A9","S100A9","CD68","CD68",0.285070839201063,0.138991978201294,0.199056328661466,0.499997280265501
"95","B","B","CCL5","CCL5","CXCR3","CXCR3",0.491671035879648,0.118578093468527,0.199056328661466,0.548126287927035
"96","B","B","CD59","CD59","CD2","CD2",0.1898219513316,0.163910940299779,0.199056328661466,0.469816007001321
"97","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,0.199056328661466,0.910745230281221
"98","B","B","MIF","MIF","CD44","CD44",0.910488685785623,0.655390474380009,0.199056328661466,0.795111836647869
"99","B","B","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.32766130682417,0.199056328661466,0.846705239533711
"100","B","B","GRN","GRN","TNFRSF1B","TNFRSF1B",0.37397282069396,0.215719706431801,0.199056328661466,0.587949143322559
"101","B","B","EBI3","EBI3","IL27RA","IL27RA",0.162130281769887,0.191378512765407,0.199056328661466,0.469472734670637
"102","B","B","FAM3C","FAM3C","LAMP1","LAMP1",0.26439734593398,0.217407711390467,0.199056328661466,0.546372825498737
"103","B","NK","PRNP","PRNP","TNFRSF25","TNFRSF25",0.26927836115611,0.293543322263097,0.199056328661466,0.5854767956338
"104","B","NK","ADAM10","ADAM10","CD44","CD44",0.119796825410415,0.425514216912607,0.199056328661466,0.531448413625409
"105","B","NK","ADAM10","ADAM10","NOTCH1","NOTCH1",0.119796825410415,0.136564891325529,0.199056328661466,0.391195609776153
"106","B","NK","ADAM10","ADAM10","TSPAN14","TSPAN14",0.119796825410415,0.180618409053728,0.199056328661466,0.424947437250452
"107","B","NK","ADAM10","ADAM10","TSPAN17","TSPAN17",0.119796825410415,0.141735185224552,0.199056328661466,0.395629551397021
"108","B","NK","ITGB1BP1","ITGB1BP1","ITGB2","ITGB2",0.322445076849195,2.20648250147255,0.199056328661466,0.809066515524268
"109","B","NK","ITGB1BP1","ITGB1BP1","ITGB7","ITGB7",0.322445076849195,0.701497887349489,0.199056328661466,0.704951136605632
"110","B","NK","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.135743568975994,0.293543322263097,0.199056328661466,0.500702140934129
"111","B","NK","TYROBP","TYROBP","KLRD1","KLRD1",0.351948755355211,1.2213122175345,0.199056328661466,0.767097771843917
"112","B","NK","GNAS","GNAS","ADRB2","ADRB2",0.734176766623014,0.208359627799299,0.199056328661466,0.662715690645169
"113","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.734176766623014,0.825506009432042,0.199056328661466,0.796374226129483
"114","B","NK","HLA-B","HLA-B","CD8A","CD8A",2.91367368215144,0.320410594798603,0.199056328661466,0.829176020783104
"115","B","NK","HLA-B","HLA-B","CD3D","CD3D",2.91367368215144,0.382422591834352,0.199056328661466,0.841343734104001
"116","B","NK","HLA-B","HLA-B","CD3G","CD3G",2.91367368215144,0.196046214000817,0.199056328661466,0.791529955254068
"117","B","NK","HLA-B","HLA-B","KIR2DL3","KIR2DL3",2.91367368215144,0.258151009290912,0.199056328661466,0.81332619477969
"118","B","NK","HLA-B","HLA-B","KIR3DL2","KIR3DL2",2.91367368215144,0.182113235170343,0.199056328661466,0.785382163171636
"119","B","NK","HLA-B","HLA-B","KLRD1","KLRD1",2.91367368215144,1.2213122175345,0.199056328661466,0.904550232874158
"120","B","NK","HLA-DRA","HLA-DRA","CD63","CD63",3.92508399703639,2.07762185697321,0.199056328661466,0.934836567667824
"121","B","NK","HLA-DRA","HLA-DRA","CD37","CD37",3.92508399703639,1.70073059366287,0.199056328661466,0.928467950676703
"122","B","NK","HLA-DRA","HLA-DRA","CD53","CD53",3.92508399703639,1.94955731267751,0.199056328661466,0.932871731996278
"123","B","NK","HLA-DRA","HLA-DRA","CD82","CD82",3.92508399703639,0.195516527475114,0.199056328661466,0.814845230938617
"124","B","NK","HLA-DRB1","HLA-DRB1","CD37","CD37",2.77326809792569,1.70073059366287,0.199056328661466,0.916039237075824
"125","B","NK","HLA-DRB1","HLA-DRB1","CD53","CD53",2.77326809792569,1.94955731267751,0.199056328661466,0.921143190073384
"126","B","NK","HLA-DRB1","HLA-DRB1","CD82","CD82",2.77326809792569,0.195516527475114,0.199056328661466,0.7871993110698
"127","B","NK","CD74","CD74","CXCR4","CXCR4",4.53114927048177,1.07522147794157,0.199056328661466,0.917277512339934
"128","B","NK","CD3D","CD3D","CD3E","CD3E",0.498510384940848,0.922601660598113,0.199056328661466,0.773086692371483
"129","B","NK","HLA-A","HLA-A","CD8A","CD8A",3.2691842147084,0.320410594798603,0.199056328661466,0.837175620506665
"130","B","NK","HLA-A","HLA-A","CD3D","CD3D",3.2691842147084,0.382422591834352,0.199056328661466,0.848877377134907
"131","B","NK","HLA-A","HLA-A","CD3G","CD3G",3.2691842147084,0.196046214000817,0.199056328661466,0.800869120462477
"132","B","NK","HLA-A","HLA-A","KIR2DL3","KIR2DL3",3.2691842147084,0.258151009290912,0.199056328661466,0.821908614755129
"133","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.2691842147084,0.182113235170343,0.199056328661466,0.794925385221463
"134","B","NK","HLA-A","HLA-A","APLP2","APLP2",3.2691842147084,0.217274440821294,0.199056328661466,0.808940530255229
