"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"29","NK","GNAS","NK","PTGDR",0.0552729695960017,30,22.5,0.313569230464658,15,0.791815143541941,60,0.40981751655829,17,0.351235726743835,28
"30","NK","B2M","CD8 T","CD3G",0.0552729695960017,36,36,0.16934237540217,60,0.882307433635473,12,0.12585740824598,59,0.454228645902272,13
"31","CD8 T","IL23A","NK","IL12RB1",0.05767168,46.25,27,0.53006718486953,3,0.626005115340359,128,0.342191590177655,28,0.366897809917373,26
"32","NK","TGFB1","CD8 T","TGFBR2",0.0637620490129113,41.25,25.5,0.355210329091986,9,0.69010980041239,105,0.340681964154313,29,0.376096864063747,22
"33","NK","GNAI2","NK","S1PR5",0.084410149637651,39.5,31.5,0.280657780611663,22,0.753174966690416,73,0.329303414256838,31,0.32101274826654,32
"34","CD8 T","B2M","CD8 T","CD3G",0.0911892087630154,49.25,58,0.163199919027598,64,0.880375557833218,13,0.0958173938165821,68,0.209386263540965,52
"35","B","B2M","NK","KLRD1",0.0921136705039567,47.25,25.5,0.24245758171342,33,0.926000443823931,7,0.400833465090675,18,-0.0689825971821081,131
"36","CD8 T","ICAM2","NK","ITGB2",0.0966727692794669,44.25,39,0.1574142991263,69,0.8263499355768,45,0.323155980933602,33,0.336870395174272,30
"37","NK","ANXA1","B","FPR1",0.100241078750521,41.5,29,0.327684229464865,12,0.704130234247882,96,0.320878013647212,34,0.373866701465431,24
"38","B","LTB","CD8 T","TNFRSF1A",0.114614029754269,51.75,50,0.156008656334514,72,0.774224463148971,64,0.300640146572661,35,0.30632260061694,36
"39","CD8 T","ANXA1","B","FPR1",0.127241348638067,48,36.5,0.297852563997266,18,0.694091560885899,101,0.274211254836278,36,0.29459231559229,37
"40","CD8 T","GNAS","NK","PTGDR",0.134943773427738,53.75,51.5,0.197218019792065,49,0.751017504851876,75,0.266013897792983,37,0.195298600036065,54
"41","B","EBI3","CD8 T","IL27RA",0.1583127030404,59,34.5,0.557014845288908,2,0.529098227789654,165,0.232881956789326,40,0.340885326553808,29
"42","NK","GNAI2","NK","ADCY7",0.169603644348188,52.5,40.5,0.293131618022949,21,0.67995573760035,108,0.227219555042834,41,0.259727752210097,40
"43","NK","GNAI2","B","S1PR4",0.174689879216993,76.75,76,0.146260039060544,80,0.74895452606247,76,0.0851721816823437,76,0.094871675950391,75
"44","NK","GNAI2","CD8 T","S1PR4",0.183589513969179,78,77,0.145341505855588,81,0.748361799118377,77,0.0824412798605532,77,0.092370296601601,77
"45","B","PKM","CD8 T","CD44",0.192824940541441,62.5,58,0.14447649502358,82,0.806929284621353,52,0.140084745306273,54,0.137792264416209,62
"46","B","SEMA4D","B","CD72",0.193619579042066,60.5,42.5,0.310855242580462,16,0.593146061972944,141,0.221716626385523,42,0.25256855582716,43
"47","NK","GNAI2","NK","S1PR4",0.21233664,82,82,0.14165470106248,84,0.745934809179798,80,0.0658492180761259,82,0.0823302704787166,82
"48","B","GNAS","NK","ADCY7",0.219580508121616,52,44,0.266307418523642,26,0.706696412453363,94,0.215485727234798,43,0.237917638353029,45
"49","CD8 T","SEMA4D","B","CD72",0.233301540891295,63.25,45,0.297626792107285,19,0.587888393974214,144,0.204092469696796,46,0.243599445934631,44
"50","NK","SEMA4D","B","CD72",0.233301540891295,65.5,45.5,0.280023029774574,23,0.580483540124322,148,0.205832248526389,45,0.231663801680286,46
"51","B","GNAI2","NK","S1PR5",0.255763452161599,54,44.5,0.209741453108333,41,0.725117027760787,88,0.247323266131997,39,0.222565673622431,48
"52","CD8 T","PKM","B","CD44",0.255763452161599,70.25,69.5,0.138915009817943,88,0.803853033683102,54,0.0926339229791932,71,0.110890443523724,68
"53","B","B2M","NK","CD247",0.267312914019159,55.75,41.5,0.18213019958957,53,0.94033967438514,3,0.34042124172787,30,-0.0916994026314821,137
"54","NK","TGFB1","NK","CXCR4",0.267588732961266,71,77.5,0.139886131968568,86,0.834129884884495,40,0.0952142050924922,69,0.0741294422834035,89
"55","NK","CCL5","NK","CXCR3",0.267588732961266,70.5,68.5,0.137898849526232,89,0.800450536998331,56,0.103358721744582,65,0.103066431527761,72
"56","CD8 T","VIM","B","CD44",0.279819408579758,53.75,51,0.136432184592812,90,0.861741348455782,23,0.165958972126245,51,0.209607740368899,51
"57","NK","GNAS","NK","ADCY7",0.293211162015827,56.75,49,0.251862612793825,31,0.700883628268977,98,0.182182518021309,48,0.213815250977162,50
"58","NK","PKM","CD8 T","CD44",0.347377925864223,75.25,74,0.124902293152359,95,0.795334686519601,58,0.0942088226844303,70,0.0888227475431091,78
"59","B","VIM","B","CD44",0.377567612428155,75.75,89.5,0.117871132830833,97,0.852797267183817,27,0.0275659247335062,93,0.0753778120287583,86
"60","NK","GNAI2","B","FPR1",0.39845888,71,54.5,0.297493462217728,20,0.553016577948022,155,0.137312155063691,56,0.201167583724799,53
"61","NK","GNAI2","CD8 T","CXCR3",0.39845888,63.75,51.5,0.202454500265181,45,0.684725833320994,107,0.194783874441807,47,0.174084971465334,56
"62","CD8 T","LTB","CD8 T","TNFRSF1A",0.409683596101624,90.5,92,0.116927645940466,99,0.748031771191064,79,0.0452085188151449,87,0.0527292422690989,97
