"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"39","CD8 T","B","ANXA1","ANXA1","FPR1","FPR1",0.366564292422121,0.222620338762458,0.29459231559229
"40","CD8 T","B","PTDSS1","PTDSS1","JMJD6","JMJD6",-0.141829850057349,0.0715079785816555,-0.0351609357378465
"41","CD8 T","NK","IFNG","IFNG","IFNGR1","IFNGR1",-0.0642448701369524,-0.0309329284318834,-0.0475888992844179
"42","CD8 T","NK","TGFBR2","TGFBR2","TGFB1","TGFB1",0.242034649719245,0.51015907840825,0.376096864063747
"43","CD8 T","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",-0.346161004504446,0.353414029386622,0.00362651244108805
"44","CD8 T","NK","IFNG","IFNG","IFNGR2","IFNGR2",-0.0642448701369524,0.0365998875790657,-0.0138224912789433
"45","CD8 T","NK","IL23A","IL23A","IL12RB1","IL12RB1",0.355876832457465,0.377918787377281,0.366897809917373
"46","CD8 T","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",-0.141829850057349,0.205510887770244,0.0318405188564477
"47","CD8 T","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",-0.0642448701369524,0.193178062363533,0.0644665961132903
"48","CD8 T","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.346161004504446,0.242034649719245,-0.0520631773926006
"49","CD8 T","CD8 T","TGFBR2","TGFBR2","TGFB1","TGFB1",0.242034649719245,-0.346161004504446,-0.0520631773926006
"50","CD8 T","CD8 T","IL23A","IL23A","IL12RB1","IL12RB1",0.355876832457465,-0.0821420239636699,0.136867404246898
"51","CD8 T","CD8 T","PCSK1N","PCSK1N","GPR171","GPR171",0.368219109818732,0.308140995658608,0.33818005273867
