"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"153","CD8 T","B2M","B","HLA-F",0.360272263178019,172,205.5,0.118432297415892,252,0.913521850931509,25,0.0315958202879555,237,0.138637920275051,174
"154","NK","CALM1","B","FAS",0.368607180238064,160.5,126.5,0.180281984446727,143,0.732461845985835,291,0.188146148182315,110,0.305200056810537,98
"155","B","VIM","B","CD44",0.371846357038461,209,236,0.117871132830833,254,0.852797267183817,110,0.0296626522949607,240,0.0753778120287583,232
"156","B","TGFB1","CD8 T","CXCR4",0.389727595402389,186.25,172,0.116582846731556,257,0.821137142488588,181,0.140172607545188,144,0.164555441351373,163
"157","NK","HSP90B1","B","TLR7",0.397007200249427,170.5,144.5,0.346529859166304,30,0.646507465370148,363,0.142572169188285,142,0.202702823070219,147
"158","CD8 T","UBA52","NK","NOTCH1",0.402001543823099,188,181.5,0.197841753617566,130,0.766462501825489,259,0.0662788442302746,207,0.189681865137863,156
"159","NK","B2M","CD8 T","CD247",0.408246111184565,140.5,142,0.115063289928723,260,0.926078424637269,18,0.0622850566360869,213,0.354125368944069,71
"160","NK","FASLG","CD8 T","TNFRSF1A",0.411659920901512,194,139,0.285217979366092,59,0.509956676069841,439,0.164303143159712,129,0.201816716192392,149
"161","NK","GNAI2","B","FPR1",0.419099595841924,192,148.5,0.297493462217728,53,0.553016577948022,418,0.137516093400586,147,0.201167583724799,150
"162","NK","CALM1","NK","PTPRA",0.420953214146605,183,179,0.138158553755735,226,0.763193454825862,262,0.162968333031545,132,0.265446064694353,112
"163","CD8 T","B2M","CD8 T","HLA-F",0.420953214146605,181.75,219,0.11439080227328,262,0.912140503377007,27,0.0186992771295566,254,0.12395418604001,184
"164","NK","IFNG","NK","IFNGR1",0.42661484887847,182.5,126,0.223009370131396,101,0.603189753024778,391,0.235113466831491,87,0.199716328154568,151
"165","CD8 T","CALM1","CD8 T","PTPRA",0.440567199320328,248.75,248.5,0.135601591423495,233,0.761501219063771,265,0.0341254878476942,234,0.0405250123504899,263
"166","CD8 T","HLA-B","NK","CANX",0.440567199320328,211.5,237.5,0.128843084777625,242,0.854873352462865,106,0.0363271007345519,233,0.037033586619182,265
"167","CD8 T","GNAS","NK","PTGDR",0.449614226650134,159.5,142.5,0.197218019792065,131,0.751017504851876,272,0.252107728836568,81,0.195298600036065,154
"168","B","SELPLG","NK","ITGB2",0.460858753363517,179.5,186,0.111386075563392,268,0.758777603779181,266,0.283636041220738,78,0.287070036800528,106
"169","CD8 T","B2M","CD8 T","CD247",0.467775837082486,182.25,220,0.110889666894185,269,0.924803797937563,20,0.0283981545368275,243,0.109282986582761,197
"170","NK","B2M","NK","HLA-F",0.474770494673761,157.25,165.5,0.110771290614244,270,0.91084356222925,28,0.0194163882462455,253,0.341047843272129,78
"171","NK","CALM2","NK","SELL",0.488994844929799,208.75,233.5,0.109532717677083,272,0.859147394269858,96,0.0573258500984267,217,0.0560455084028947,250
"172","NK","GNAI2","B","S1PR4",0.496225699683034,219.75,210.5,0.146260039060544,205,0.74895452606247,273,0.0876788239677687,185,0.094871675950391,216
"173","CD8 T","CALM1","B","SELL",0.496225699683034,204.75,249.5,0.115024341766652,261,0.891633024736416,47,0.0310973957525796,238,0.0229727230090987,273
"174","NK","GNAI2","CD8 T","CXCR3",0.497654024964176,185.25,142.5,0.202454500265181,125,0.684725833320994,344,0.185897684366204,112,0.174084971465334,160
"175","NK","NUCB2","NK","ERAP1",0.505925,202,154.5,0.313999350800437,42,0.444812199362558,457,0.135940676888959,148,0.174067986540688,161
"176","NK","GNAI2","CD8 T","S1PR4",0.510927689741675,222.75,212,0.145341505855588,206,0.748361799118377,275,0.0782565676551517,192,0.092370296601601,218
"177","CD8 T","LTB","CD8 T","TNFRSF1A",0.525953973953066,253.25,254,0.116927645940466,256,0.748031771191064,277,0.0413876162889145,228,0.0527292422690989,252
"178","B","GNAI2","NK","ADCY7",0.531190257324695,192,151,0.219063413749433,106,0.647470326083761,360,0.148130044148926,138,0.161280677565988,164
"179","NK","GNAI2","NK","S1PR4",0.541309286434082,229.25,221.5,0.14165470106248,217,0.745934809179798,279,0.0762452464312639,195,0.0823302704787166,226
"180","B","ICAM2","NK","ITGAM",0.548410100021084,200.25,162.5,0.215120694932764,110,0.640178086815785,366,0.126599812670122,159,0.158332795293525,166
"181","CD8 T","CALM1","NK","PTPRA",0.564969623464753,277.25,280.5,0.112695600346032,266,0.74429484468815,280,-0.00900387575306491,282,0.00473783340324643,281
"182","NK","CALM1","B","PTPRA",0.573026104198456,213,218.5,0.105195261230141,282,0.737686028074773,283,0.129013230717851,155,0.22343747078461,132
"183","CD8 T","B2M","NK","HLA-F",0.581168443508993,201.75,246.5,0.106753348746256,279,0.909331960581057,30,-0.0144705138530138,284,0.0962054609108207,214
"184","CD8 T","SELPLG","B","SELL",0.581168443508993,269.5,279.5,0.10583608102166,281,0.747513467349999,278,0.0336196104955324,235,0.00218685295513706,284
"185","NK","HLA-B","CD8 T","CANX",0.589397249241533,178.5,172,0.104586126923969,285,0.841449702438872,130,0.0599626177418237,214,0.33059899702828,85
"186","CD8 T","CALM1","CD8 T","FAS",0.606116702073677,217,222.5,0.187049132052064,136,0.736056850627124,287,0.0443627341586448,226,0.0913667661330409,219
"187","B","PTDSS1","NK","JMJD6",0.611040211852445,209.5,157,0.203206508668907,124,0.586628084249706,400,0.145251254054257,141,0.14222521859491,173
"188","NK","SELPLG","CD8 T","ITGB2",0.614608575583992,263,262,0.132108086028023,240,0.774045753742101,247,-0.00616935216950473,277,-0.00452287256860597,288
"189","CD8 T","TNFSF12","CD8 T","TNFRSF25",0.638999477560472,207.25,158,0.208964278280653,118,0.593787687469874,395,0.145569411331342,140,0.137350865390309,176
"190","CD8 T","IL23A","CD8 T","IL12RB1",0.648467343688023,220.25,172,0.222733063660336,102,0.520389076493774,435,0.10954597092141,167,0.136867404246898,177
"191","NK","PTDSS1","NK","JMJD6",0.658009022266215,219,170.5,0.196621845810029,132,0.582628514317647,403,0.114664000031365,163,0.134200594204009,178
"192","B","LYZ","CD8 T","ITGAL",0.667448845594462,199.75,173.5,0.169328420447955,162,0.732050379553809,294,0.126707757399115,158,0.123794080927022,185
"193","NK","HLA-E","CD8 T","KLRC1",0.667448845594462,228,218.5,0.101275160572843,294,0.814454106330549,193,0.0283138895160284,244,0.132835783264987,181
"194","CD8 T","HLA-B","B","CANX",0.676576218727777,246.25,282,0.109525404029873,273,0.844503698314619,126,-0.0187552553542506,291,-0.0113900352084772,295
"195","B","B2M","NK","KIR2DL3",0.677313188560647,185,145.5,0.308066254138689,46,0.851920939519777,111,0.0903909977436323,180,-0.272434434877542,403
"196","B","B2M","CD8 T","CD247",0.681920819233065,271.75,311,0.100599922227159,297,0.921346841082138,21,-0.0580593472174158,325,-0.494356963004428,444
