"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"102","B","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.163998073903803,0.242034649719245,0.0390182879077208
"103","B","CD8 T","CCL5","CCL5","CXCR3","CXCR3",-0.945434583746106,0.16845511424353,-0.388489734751288
"104","B","CD8 T","EBI3","EBI3","IL27RA","IL27RA",0.426733017876244,0.255037635231371,0.340885326553808
"105","B","CD8 T","GNAS","GNAS","PTGDR","PTGDR",0.136094600973003,-0.212110612174431,-0.038008005600714
"106","B","CD8 T","ICAM3","ICAM3","ITGAL","ITGAL",0.0850170768506756,0.149572199800229,0.117294638325452
"107","B","CD8 T","ICAM3","ICAM3","ITGB2","ITGB2",0.0850170768506756,-0.224075373209829,-0.0695291481795767
"108","B","CD8 T","TIMP1","TIMP1","CD63","CD63",-0.262591355573702,-0.387697985010333,-0.325144670292018
"109","B","CD8 T","TGFB1","TGFB1","CXCR4","CXCR4",-0.163998073903803,0.493108956606549,0.164555441351373
"110","B","CD8 T","SELPLG","SELPLG","SELL","SELL",-0.178785944796187,-0.526539177461466,-0.352662561128827
"111","B","CD8 T","SELPLG","SELPLG","ITGB2","ITGB2",-0.178785944796187,-0.224075373209829,-0.201430659003008
"112","B","CD8 T","LYZ","LYZ","ITGAL","ITGAL",0.0980159620538164,0.149572199800229,0.123794080927022
"113","B","CD8 T","ADAM28","ADAM28","ITGA4","ITGA4",0.426905116446351,0.161806293867311,0.294355705156831
"114","B","CD8 T","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",-0.11699182378592,0.188822960826823,0.0359155685204516
"115","B","CD8 T","GNAI2","GNAI2","S1PR5","S1PR5",-0.0171793206010794,0.0277568787711517,0.00528877908503615
"116","B","CD8 T","GNAI2","GNAI2","CXCR3","CXCR3",-0.0171793206010794,0.16845511424353,0.0756378968212251
"117","B","CD8 T","PKM","PKM","CD44","CD44",-0.0877324358612182,0.363316964693636,0.137792264416209
"118","B","CD8 T","CALM1","CALM1","PTPRA","PTPRA",-0.532072576245199,0.0757219678694865,-0.228175304187856
"119","B","CD8 T","HLA-C","HLA-C","CD3G","CD3G",-0.862434970519042,0.179574148931341,-0.34143041079385
"120","B","CD8 T","HLA-E","HLA-E","KLRD1","KLRD1",-0.456533997813046,-0.220226347035037,-0.338380172424041
"121","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",-0.456533997813046,-0.0669805388544327,-0.261757268333739
"122","B","CD8 T","HLA-A","HLA-A","CD3G","CD3G",-0.749821290724325,0.179574148931341,-0.285123570896492
"123","B","CD8 T","HLA-B","HLA-B","CD3G","CD3G",-0.728616340036732,0.179574148931341,-0.274521095552695
"124","B","CD8 T","LTB","LTB","TNFRSF1A","TNFRSF1A",0.621584412066401,-0.00893921083252189,0.30632260061694
"125","B","CD8 T","CALM2","CALM2","SELL","SELL",0.173735605714672,-0.526539177461466,-0.176401785873397
"126","B","CD8 T","CALM1","CALM1","SELL","SELL",-0.532072576245199,-0.526539177461466,-0.529305876853333
"127","B","CD8 T","CALM3","CALM3","SELL","SELL",-0.0902805206606217,-0.526539177461466,-0.308409849061044
"128","B","CD8 T","GNAI2","GNAI2","S1PR4","S1PR4",-0.0171793206010794,0.00502576451606294,-0.00607677804250824
"129","B","CD8 T","HLA-B","HLA-B","CANX","CANX",-0.728616340036732,-0.0835495891389313,-0.406082964587832
"130","B","CD8 T","CALR","CALR","HLA-F","HLA-F",-0.330657276432627,0.0087099939294325,-0.160973641251597
"131","B","CD8 T","B2M","B2M","HLA-F","HLA-F",-0.96808152102379,0.0087099939294325,-0.479685763547179
"132","B","CD8 T","LRPAP1","LRPAP1","SORL1","SORL1",-0.101414032999025,0.132754549798968,0.0156702583999716
"133","B","CD8 T","HLA-A","HLA-A","APLP2","APLP2",-0.749821290724325,-0.096212787592521,-0.423017039158423
"134","B","CD8 T","B2M","B2M","CD3D","CD3D",-0.96808152102379,0.951524748506574,-0.00827838625860799
"135","B","CD8 T","HLA-A","HLA-A","CD3D","CD3D",-0.749821290724325,0.951524748506574,0.100851728891124
"136","B","CD8 T","HLA-C","HLA-C","CD3D","CD3D",-0.862434970519042,0.951524748506574,0.0445448889937657
"137","B","CD8 T","HLA-B","HLA-B","CD3D","CD3D",-0.728616340036732,0.951524748506574,0.111454204234921
"138","B","CD8 T","CALM1","CALM1","FAS","FAS",-0.532072576245199,0.177405475434589,-0.177333550405305
"139","B","CD8 T","ICAM2","ICAM2","ITGAL","ITGAL",0.0887135674169522,0.149572199800229,0.11914288360859
"140","B","CD8 T","B2M","B2M","CD247","CD247",-0.96808152102379,-0.0206324049850662,-0.494356963004428
