"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"28","CD8 T","IL23A","NK","IL12RB1",0.0497465194493112,50.5,30,0.53006718486953,3,0.626005115340359,139,0.349682780939613,29,0.366897809917373,31
"29","CD8 T","LTB","NK","TNFRSF1A",0.0523522901425989,57.5,59,0.243583647424203,43,0.810781318841324,69,0.162482236348664,57,0.227302122870249,61
"30","B","HLA-E","NK","KLRD1",0.0523522901425989,37.5,33,0.233192673091398,45,0.897721163328375,15,0.380586931243592,21,0.186791164423264,69
"31","CD8 T","ICAM3","NK","ITGB2",0.0544906204560663,38.25,29.5,0.173578761874593,73,0.872738232486608,21,0.35375455039967,27,0.356915117027703,32
"32","NK","ICAM2","NK","ITGB2",0.0554538216972415,39.5,34.5,0.177886366427953,70,0.834947889988324,41,0.383367882443356,19,0.371698839514495,28
"33","NK","HLA-A","NK","KIR3DL2",0.0586911631487372,42.5,42.5,0.293904241066393,30,0.809330126596413,71,0.166463931793472,55,0.429457046914101,14
"34","NK","CCL5","CD8 T","CXCR3",0.0586911631487372,63,66.5,0.177281438117998,71,0.819759899296032,63,0.207471395042534,48,0.168338446408658,70
"35","NK","ICAM3","NK","ITGB2",0.0595114177871434,40.25,32,0.172337822114863,74,0.872339259237613,23,0.347329369219557,31,0.353502362944202,33
"36","NK","ANXA1","B","FPR1",0.0648148148148148,48.25,30.5,0.327684229464865,20,0.704130234247882,112,0.319271966205939,34,0.373866701465431,27
"37","NK","GNAS","NK","PTGDR",0.0648148148148148,39.25,28.5,0.313569230464658,23,0.791815143541941,85,0.410789694038158,15,0.351235726743835,34
"38","CD8 T","HLA-A","NK","KIR3DL2",0.0655889626376216,55.75,58.5,0.283415527979157,33,0.806510463773468,73,0.129400642475033,68,0.29403848654359,49
"39","NK","B2M","B","HLA-F",0.0778565536153324,57.25,56.5,0.122889807104327,115,0.91497013129231,1,0.0682823956653554,89,0.383480302636359,24
"40","NK","IFNG","CD8 T","IFNGR1",0.110312347426928,54.25,38,0.358564665699609,15,0.658411033723416,126,0.312664490073168,35,0.311771823552276,41
"41","CD8 T","ICAM2","NK","ITGB2",0.120563271604938,53.25,47.5,0.1574142991263,85,0.8263499355768,57,0.319294116156089,33,0.336870395174272,38
"42","NK","SELPLG","B","SELL",0.126337746653795,76.75,80.5,0.167696089694405,78,0.788436276394561,86,0.145233547213482,60,0.127823508629661,83
"43","NK","IFNG","B","IFNGR2",0.134571611397799,59.5,40,0.372285272724069,13,0.61921743087233,145,0.312286916334007,36,0.304167623648806,44
"44","B","HLA-B","NK","KLRD1",0.134571611397799,48.75,32,0.234669413570041,44,0.904550232874158,13,0.380587283555349,20,0.0507499933114206,118
"45","B","LTB","CD8 T","TNFRSF1A",0.151533746003999,64.5,65,0.156008656334514,87,0.774224463148971,90,0.29248385957898,38,0.30632260061694,43
"46","B","EBI3","CD8 T","IL27RA",0.15242019416718,67.75,41.5,0.557014845288908,2,0.529098227789654,186,0.218947187917389,46,0.340885326553808,37
"47","NK","B2M","CD8 T","HLA-F",0.154570980226604,63.25,66,0.118696199707313,119,0.913609729920262,2,0.0504971454260933,102,0.368796568401318,30
"48","CD8 T","ANXA1","B","FPR1",0.161858931186967,57.75,43,0.297852563997266,26,0.694091560885899,119,0.278877116526292,39,0.29459231559229,47
"49","CD8 T","GNAS","NK","PTGDR",0.188119468383127,66.25,64.5,0.197218019792065,61,0.751017504851876,95,0.251898908488575,41,0.195298600036065,68
"50","NK","FASLG","CD8 T","FAS",0.203125,73.5,48.5,0.492324740890841,4,0.504113245451463,193,0.20228918032115,51,0.294989059325947,46
"51","NK","HLA-B","NK","CANX",0.213031401432123,52.5,47.5,0.143069543844195,98,0.861250388713031,26,0.127675996518689,69,0.417472999796308,17
"52","CD8 T","SELPLG","NK","SELL",0.221860557524455,73.5,75.5,0.142717489963964,99,0.77467193188277,89,0.22923138925877,44,0.224839052499166,62
"53","B","ADAM28","CD8 T","ITGA4",0.225908358543227,72,50.5,0.468675147148198,6,0.541665658504605,181,0.168113657207307,53,0.294355705156831,48
"54","B","HLA-E","NK","KLRC1",0.225908358543227,64.25,51,0.213015227857588,53,0.864241780730991,24,0.20587594891272,49,0.0188174840683591,131
"55","CD8 T","B2M","B","HLA-F",0.23015450455574,77.25,93,0.118432297415892,120,0.913521850931509,3,0.032793477646135,111,0.138637920275051,75
