"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"175","CD8 T","NK","B2M","B2M","HLA-F","HLA-F",0.0285839458677524,-0.0599589577098087,-0.0156875059210282
"176","CD8 T","NK","LRPAP1","LRPAP1","SORL1","SORL1",0.0478664764639546,0.0428021841048104,0.0453343302843825
"177","CD8 T","NK","HLA-A","HLA-A","APLP2","APLP2",0.050474189440143,0.00559224232517147,0.0280332158826573
"178","CD8 T","NK","ICAM2","ICAM2","ITGAL","ITGAL",-0.118076263655528,0.12214536962723,0.00203455298585103
"179","CD8 T","NK","HLA-B","HLA-B","KLRD1","KLRD1",-0.010721990378407,0.939497345482225,0.464387677551909
"180","CD8 T","NK","ICAM2","ICAM2","ITGB2","ITGB2",-0.118076263655528,0.756664495967707,0.319294116156089
"181","CD8 T","NK","VIM","VIM","CD44","CD44",0.386439134509692,-0.364096597410061,0.0111712685498157
"182","CD8 T","NK","PTDSS1","PTDSS1","JMJD6","JMJD6",-0.177576971584166,0.18299666745101,0.00270984793342237
"183","CD8 T","CD8 T","IFNG","IFNG","IFNGR1","IFNGR1",-0.0629717336757139,0.157906489164802,0.0474673777445442
"184","CD8 T","CD8 T","TGFB1","TGFB1","TGFBR2","TGFBR2",-0.388578887847675,0.176751471326563,-0.105913708260556
"185","CD8 T","CD8 T","IL23A","IL23A","IL12RB1","IL12RB1",0.299687031591183,-0.0764686434541214,0.111609194068531
"186","CD8 T","CD8 T","CCL5","CCL5","CXCR3","CXCR3",0.955518888823301,0.208461534014862,0.581990211419081
"187","CD8 T","CD8 T","GNAS","GNAS","PTGDR","PTGDR",-0.245309465188047,-0.234437265960053,-0.23987336557405
"188","CD8 T","CD8 T","ICAM3","ICAM3","ITGAL","ITGAL",-0.0491553951683659,0.166911183501265,0.0588778941664497
"189","CD8 T","CD8 T","ICAM3","ICAM3","ITGB2","ITGB2",-0.0491553951683659,-0.218721615301738,-0.133938505235052
"190","CD8 T","CD8 T","TIMP1","TIMP1","CD63","CD63",0.17492017410236,-0.44706936714162,-0.13607459651963
"191","CD8 T","CD8 T","SELPLG","SELPLG","SELL","SELL",-0.0144173112232882,-0.599206142768023,-0.306811726995655
"192","CD8 T","CD8 T","TNFSF12","TNFSF12","TNFRSF25","TNFRSF25",0.0631681577810988,0.226546062167667,0.144857109974383
"193","CD8 T","CD8 T","HLA-E","HLA-E","KLRD1","KLRD1",0.0326467682401801,-0.232823015668588,-0.100088123714204
"194","CD8 T","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",0.0326467682401801,-0.0721106696805356,-0.0197319507201778
"195","CD8 T","CD8 T","LTB","LTB","TNFRSF1A","TNFRSF1A",0.0455156252601467,0.0258012812065659,0.0356584532333563
"196","CD8 T","CD8 T","HLA-B","HLA-B","CANX","CANX",-0.010721990378407,-0.0525539211927716,-0.0316379557855893
"197","CD8 T","CD8 T","B2M","B2M","HLA-F","HLA-F",0.0285839458677524,0.00143250894599345,0.0150082274068729
"198","CD8 T","CD8 T","LRPAP1","LRPAP1","SORL1","SORL1",0.0478664764639546,0.159520154133718,0.103693315298836
"199","CD8 T","CD8 T","HLA-A","HLA-A","APLP2","APLP2",0.050474189440143,-0.0868238983760904,-0.0181748544679737
"200","CD8 T","CD8 T","ICAM2","ICAM2","ITGAL","ITGAL",-0.118076263655528,0.166911183501265,0.0244174599228685
"201","CD8 T","CD8 T","HLA-B","HLA-B","KLRD1","KLRD1",-0.010721990378407,-0.232823015668588,-0.121772503023498
"202","CD8 T","CD8 T","ICAM2","ICAM2","ITGB2","ITGB2",-0.118076263655528,-0.218721615301738,-0.168398939478633
"203","CD8 T","CD8 T","VIM","VIM","CD44","CD44",0.386439134509692,0.391049277576116,0.388744206042904
"204","CD8 T","CD8 T","PRSS23","PRSS23","TMEM222","TMEM222",-0.195206552662816,0.160602439613056,-0.0173020565248799
